Data de Venda,Assinante,Plano Contratado,Valor,URL,Idade,País,Campanha
2024-02-01,João Silva,Plano Premium,29.9,https://servicostreaming.com.br?utm_campaign=summer,35,Br,Summer
2024-02-05,Maria Santos,Plano Básico,12.9,https://servicostreaming.com.br?utm_campaign=fall,28,Br,Fall
2024-02-10,Pedro Lima,Plano Padrão,19.9,https://servicostreaming.com.br?utm_campaign=winter,42,Br,Winter
2024-02-15,Ana Souza,Plano Premium,29.9,https://servicostreaming.com.br?utm_campaign=spring,30,Br,Spring
2024-02-20,Carlos Ferro,Plano Básico,12.9,https://servicostreaming.com.br?utm_campaign=vacation,25,Br,Vacation
2024-02-25,Paula Costa,Plano Padrão,19.9,https://servicostreaming.com.br?utm_campaign=christmas,37,Br,Christmas
2025-03-25,Mathieu Dupont,Plano Padrão,19.9,https://servicostreaming.com.br?utm_campaign=expedition7,33,Fr,Expedition7
2025-04-01,Élodie Martin,Plano Premium,29.9,https://servicostreaming.com.br?utm_campaign=journey14,29,Fr,Journey14
2025-04-05,Théo Lefevre,Plano Básico,12.9,https://servicostreaming.com.br?utm_campaign=experience14,26,Fr,Experience14
2025-04-10,Léa Leroy,Plano Padrão,19.9,https://servicostreaming.com.br?utm_campaign=discovery8,39,Fr,Discovery8
2025-04-15,Jules Moreau,Plano Premium,29.9,https://servicostreaming.com.br?utm_campaign=journey15,32,Fr,Journey15
2025-04-20,Camille Lambert,Plano Básico,12.9,https://servicostreaming.com.br?utm_campaign=experience15,27,Fr,Experience15
2025-04-25,Manon Girard,Plano Padrão,19.9,https://servicostreaming.com.br?utm_campaign=expedition8,40,Fr,Expedition8
2025-05-01,Louis Roux,Plano Premium,29.9,https://servicostreaming.com.br?utm_campaign=journey16,31,Fr,Journey16
2025-05-05,Léa Renault,Plano Básico,12.9,https://servicostreaming.com.br?utm_campaign=experience16,28,Fr,Experience16
2025-05-10,Antoine Lemoine,Plano Padrão,19.9,https://servicostreaming.com.br?utm_campaign=discovery9,37,Fr,Discovery9
2025-05-15,Élise Nicolas,Plano Premium,29.9,https://servicostreaming.com.br?utm_campaign=journey17,34,Fr,Journey17
2025-05-20,Hugo Bernard,Plano Básico,12.9,https://servicostreaming.com.br?utm_campaign=experience17,25,Fr,Experience17
